"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2022 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2022 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
1493,,015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,0.23798,,0.18513,,58.01435,,72.36788,,72.36788,,1.0142720970,
7275,,015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",2639 GILMER AVENUE,TALLASSEE,AL,36078,0.18213,,0.21488,,0.00000,,0.00000,,0.00000,,0.9802538758,
880,,015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,0.20780,,0.17408,,84.44976,,83.43430,,84.44976,,1.0167595580,
7275,,015143,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,0.20370,,0.21823,,0.00000,,0.00000,,0.00000,,0.9802538758,
6872,,015144,THE HEALTHCARE CENTER AT BUCK CREEK,"850 9TH STREET, NORTHWEST",ALABASTER,AL,35007,0.18804,,0.20559,,9.06699,,0.00000,,9.06699,,0.9806224811,
7275,,015145,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,0.19815,,0.22226,,0.00000,,0.00000,,0.00000,,0.9802538758,
1609,,015147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,0.20770,,0.18009,,70.07177,,67.60058,,70.07177,,1.0134392448,
7275,,015148,DIVERSICARE OF ARAB,235 THIRD STREET SE,ARAB,AL,35016,0.16498,,0.20871,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015149,SUNSET MANOR,251 SUNSET PLACE,GUIN,AL,35563,0.18792,,0.21123,,0.00000,,0.00000,,0.00000,,0.9802538758,
4037,,015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,1200 MAPLE AVENUE WEST,GENEVA,AL,36340,0.18441,,0.19248,,40.43062,,0.00000,,40.43062,,0.9905259228,
7275,,015152,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,0.23434,,0.24873,,0.00000,,0.00000,,0.00000,,0.9802538758,
970,,015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,0.20833,,0.17506,,82.10526,,81.05794,,82.10526,,1.0164616944,
1621,,015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,0.20225,,0.18020,,69.80861,,62.67956,,69.80861,,1.0133339580,
7275,,015155,"RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE",JASPER,AL,35504,0.20622,,0.26950,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,0.17839,,0.21789,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,0.19722,,0.20805,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015159,DIVERSICARE OF ONEONTA,215 VALLEY ROAD,ONEONTA,AL,35121,0.18245,,0.22711,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015160,SYLACAUGA HEALTH AND REHAB SERVICES,1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150,0.20376,,0.20896,,0.00000,,0.00000,,0.00000,,0.9802538758,
6116,,015162,"TALLADEGA HEALTHCARE CENTER, INC",616 CHAFFEE STREET,TALLADEGA,AL,35160,0.22749,,0.21412,,0.00000,,18.12349,,18.12349,,0.9815033779,
2420,,015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,0.20740,,0.18468,,59.09091,,55.21733,,59.09091,,1.0070387439,
3667,,015164,CHOCTAW HEALTH AND REHAB,1406 EAST PUSHMATAHA STREET,BUTLER,AL,36904,0.19788,,0.19074,,44.59330,,20.31017,,44.59330,,0.9939603238,
2586,,015169,"FLORENCE NURSING AND REHABILITATION CTR, LLC",2107 CLOYD BLVD,FLORENCE,AL,35630,0.20189,,0.18558,,56.93780,,45.62073,,56.93780,,1.0052935945,
1984,,015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089,0.18925,,0.18237,,64.61722,,30.13790,,64.61722,,1.0107933599,
4941,,015174,COOSA VALLEY HEALTH AND REHAB,513 PINEVIEW AVENUE,GLENCOE,AL,35905,0.18969,,0.19664,,30.47847,,0.00000,,30.47847,,0.9847157088,
7275,,015175,WESLEY PLACE ON HONEYSUCKLE,718 HONEYSUCKLE ROAD,DOTHAN,AL,36305,0.18402,,0.23922,,0.00000,,0.00000,,0.00000,,0.9802538758,
3612,,015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,0.17004,,0.19042,,45.35885,,0.00000,,45.35885,,0.9946422856,
7275,,015180,GADSDEN HEALTH AND REHAB CENTER,1945 DAVIS DRIVE,GADSDEN,AL,35904,0.21169,,0.22598,,0.00000,,0.00000,,0.00000,,0.9802538758,
3371,,015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",206 PALMER AVENUE,GEORGIANA,AL,36033,0.16805,,0.18936,,47.89474,,0.00000,,47.89474,,0.9969770981,
7275,,015183,NORTH MOBILE NURSING AND REHABILITATION CTR,4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613,0.19566,,0.21029,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015184,CLOVERDALE REHABILITATION AND NURSING CENTER,412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768,0.18393,,0.21192,,0.00000,,0.00000,,0.00000,,0.9802538758,
6082,,015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",2201 32ND STREET,NORTHPORT,AL,35476,0.18094,,0.20164,,18.51675,,0.00000,,18.51675,,0.9815611959,
4398,,015188,JACKSON HEALTH CARE FACILITY,2616 NORTH COLLEGE AVENUE,JACKSON,AL,36545,0.20217,,0.19408,,36.60287,,19.89231,,36.60287,,0.9878731432,
7275,,015189,DIVERSICARE OF PELL CITY,"510 WOLF CREEK ROAD, NORTH",PELL CITY,AL,35125,0.21988,,0.21770,,0.00000,,0.00000,,0.00000,,0.9802538758,
1601,,015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",1910 PEPPERELL PKWY,OPELIKA,AL,36801,0.19218,,0.18000,,70.28708,,49.10928,,70.28708,,1.0135238294,
2778,,015193,CROWNE HEALTH CARE OF GREENVILLE,408 COUNTRY CLUB DRIVE,GREENVILLE,AL,36037,0.18443,,0.18662,,54.44976,,0.00000,,54.44976,,1.0031176709,
2915,,015194,PIEDMONT HEALTH CARE CENTER,30 ROUNDTREE DRIVE,PIEDMONT,AL,36272,0.23934,,0.19901,,24.80861,,52.88718,,52.88718,,1.0016852747,
3320,,015195,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,415 COOK SPRINGS,PELL CITY,AL,35125,0.20314,,0.18912,,48.46890,,36.88826,,48.46890,,0.9975170683,
1876,,015199,CROWNE HEALTH CARE OF EUFAULA,430 RIVERS AVENUE,EUFAULA,AL,36027,0.21867,,0.18390,,60.95694,,65.95918,,65.95918,,1.0115387765,
7275,,015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,877 CEDAR BLUFF ROAD,CENTRE,AL,35960,0.17535,,0.20910,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015202,MCGUFFEY HEALTH & REHABILITATION CENTER,2301 RAINBOW DRIVE,GADSDEN,AL,35999,0.19996,,0.20909,,0.00000,,0.00000,,0.00000,,0.9802538758,
1308,,015203,ATTALLA HEALTH AND REHAB,915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954,0.19895,,0.17787,,75.38278,,66.99454,,75.38278,,1.0151550597,
4939,,015206,DECATUR HEALTH & REHAB CENTER,2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603,0.20856,,0.19663,,30.50239,,25.67627,,30.50239,,0.9847255953,
1740,,015207,COLLINSVILLE HEALTHCARE & REHAB,685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961,0.17345,,0.18095,,68.01435,,0.00000,,68.01435,,1.0125582638,
3511,,015208,"OZARK HEALTH AND REHABILITATION, LLC",312 BRYAN DRIVE,OZARK,AL,36360,0.16025,,0.18993,,46.53110,,0.00000,,46.53110,,0.9957091987,
7275,,015209,DIVERSICARE OF BESSEMER,820 GOLF COURSE ROAD,BESSEMER,AL,35020,0.19053,,0.21898,,0.00000,,0.00000,,0.00000,,0.9802538758,
6061,,015210,"OPP HEALTH AND REHABILITATION, LLC",115 PAULK AVENUE,OPP,AL,36467,0.18443,,0.20154,,18.75598,,0.00000,,18.75598,,0.9815974029,
4464,,015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,857 CRAWFORD LANE,MOBILE,AL,36617,0.18925,,0.19436,,35.93301,,0.00000,,35.93301,,0.9874633965,
1047,,015212,SELF SKILLED NURSING & REHAB,131 EAST CREST ROAD,HUEYTOWN,AL,35023,0.20854,,0.17566,,80.66986,,79.58966,,80.66986,,1.0162447875,
1769,,015213,TROY HEALTH & REHABILITATION CENTER,515 ELBA HIGHWAY,TROY,AL,36079,0.20801,,0.18116,,67.51196,,65.03130,,67.51196,,1.0123223266,
930,,015216,OAKVIEW MANOR HEALTH CARE CENTER,929 MIXON SCHOOL ROAD,OZARK,AL,36360,0.18272,,0.17455,,83.32536,,57.60536,,83.32536,,1.0166247962,
6922,,015220,CROWNE HEALTH CARE OF THOMASVILLE,1425 MOSLEY DRIVE,THOMASVILLE,AL,36784,0.20714,,0.20591,,8.30144,,0.00000,,8.30144,,0.9805773037,
2318,,015221,"CHAPMAN HEALTHCARE CENTER, INC",3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010,0.17773,,0.18417,,60.31100,,0.00000,,60.31100,,1.0079610693,
5586,,015222,FAIRHOPE HEALTH & REHAB,108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532,0.22462,,0.20875,,0.00000,,23.88080,,23.88080,,0.9825936348,
7275,,015223,NORTHSIDE HEALTH CARE,700 HUTCHINS AVENUE,GADSDEN,AL,35901,0.20838,,0.22204,,0.00000,,0.00000,,0.00000,,0.9802538758,
1697,,015225,BARFIELD HEALTH CARE,22444 HIGHWAY 431,GUNTERSVILLE,AL,35976,0.20200,,0.18067,,68.68421,,60.97587,,68.68421,,1.0128598999,
7275,,015227,"GENERATIONS OF VERNON, LLC",1050 CONVALESCENT ROAD,VERNON,AL,35592,0.19896,,0.22056,,0.00000,,0.00000,,0.00000,,0.9802538758,
6948,,015315,"RIDGEWOOD HEALTH SERVICES, INC.",201 OAKHILL ROAD,JASPER,AL,35504,0.22152,,0.21480,,0.00000,,7.96046,,7.96046,,0.9805582354,
2397,,015320,ENTERPRISE HEALTH & REHABILITATION CENTER,300 PLAZA DRIVE,ENTERPRISE,AL,36331,0.16966,,0.18457,,59.35407,,0.00000,,59.35407,,1.0072419418,
5879,,015321,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",3141 OLD COLUMBIANA ROAD,BIRMINGHAM,AL,35226,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20074,,20.66986,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",20.66986,,0.9819173111,
5539,,015322,ENGLEWOOD HEALTH CARE CENTER,2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460,0.18127,,0.19919,,24.37799,,0.00000,,24.37799,,0.9827163793,
3643,,015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476,0.19521,,0.19062,,44.88038,,12.97181,,44.88038,,0.9942145453,
1873,,015331,ARABELLA HEALTH & WELLNESS OF PHENIX CITY,3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18180,,65.98086,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",65.98086,,1.0115502932,
6098,,015336,"LUVERNE HEALTH AND REHABILITATION, LLC",142 WEST THIRD STREET,LUVERNE,AL,36049,0.19462,,0.20170,,18.37321,,0.00000,,18.37321,,0.9815398498,
7275,,015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,2625 LAUREL OAK DRIVE,BESSEMER,AL,35022,0.19563,,0.21051,,0.00000,,0.00000,,0.00000,,0.9802538758,
3690,,015371,HERITAGE HEALTH CARE & REHAB INC,1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406,0.18543,,0.19086,,44.30622,,0.00000,,44.30622,,0.9937080212,
2932,,015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,"2061 POOLE DRIVE, NW",HUNTSVILLE,AL,35810,0.20426,,0.18737,,52.65550,,43.82914,,52.65550,,1.0014697376,
4719,,015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,212 DOTHAN ROAD,ABBEVILLE,AL,36310,0.19417,,0.19556,,33.06220,,0.00000,,33.06220,,0.9858901182,
7275,,015375,ANNISTON HEALTH AND REHAB SERVICES,600 E 8TH STREET,ANNISTON,AL,36207,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.24086,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802538758,
6885,,015376,DIVERSICARE OF WINFIELD,144 COUNTY HWY 14,WINFIELD,AL,35594,0.18618,,0.20569,,8.82775,,0.00000,,8.82775,,0.9806080015,
1303,,015378,MARSHALL MANOR NURSING HOME,3120 NORTH STREET,GUNTERSVILLE,AL,35976,0.19485,,0.17782,,75.50239,,62.63304,,75.50239,,1.0151856904,
5802,,015379,MOBILE NURSING AND REHABILITATION CENTER,7020 BRUNS DRIVE,MOBILE,AL,36695,0.23611,,0.21843,,0.00000,,21.61048,,21.61048,,0.9820959626,
7275,,015381,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,500 SPANISH FORT BLVD,SPANISH FORT,AL,36527,0.17628,,0.23197,,0.00000,,0.00000,,0.00000,,0.9802538758,
6238,,015382,CANTERBURY HEALTH CARE FACILITY,1720 KNOWLES ROAD,PHENIX CITY,AL,36869,0.18350,,0.20240,,16.69856,,0.00000,,16.69856,,0.9813106182,
910,,015383,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,1900 OLIVE STREET,CULLMAN,AL,35055,0.20835,,0.17439,,83.70813,,82.79731,,83.70813,,1.0166722700,
4017,,015388,EAST GLEN,53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235,0.21030,,0.19239,,40.64593,,39.08073,,40.64593,,0.9906904494,
6535,,015390,CAPITOL HILL HEALTHCARE CENTER,520 SOUTH HULL STREET,MONTGOMERY,AL,36104,0.20331,,0.20381,,13.32536,,0.00000,,13.32536,,0.9809447083,
6518,,015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265,0.18954,,0.20372,,13.54067,,0.00000,,13.54067,,0.9809647465,
3981,,015392,CYPRESS COVE CARE CENTER,200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661,0.18961,,0.19221,,41.07656,,0.00000,,41.07656,,0.9910241522,
7275,,015393,CROWNE HEALTH CARE OF MONTGOMERY,1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107,0.17989,,0.23068,,0.00000,,0.00000,,0.00000,,0.9802538758,
4101,,015396,DIVERSICARE OF GREENSBORO,616 ARMORY STREET,GREENSBORO,AL,36744,0.22289,,0.19907,,24.66507,,39.75761,,39.75761,,0.9900218332,
4163,,015397,WINDSOR HOUSE,4411 MCALLISTER DRIVE,HUNTSVILLE,AL,35805,0.17684,,0.19308,,38.99522,,0.00000,,38.99522,,0.9894698344,
3524,,015398,MONROE MANOR HEALTH & REHABILITATION CENTER,236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460,0.17929,,0.18999,,46.38756,,0.00000,,46.38756,,0.9955772574,
7275,,015403,"PALM GARDENS HEALTH AND REHABILITATION, LLC",3104 DAUPHIN SQUARE CONNECTOR,MOBILE,AL,36607,0.20258,,0.23204,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,015408,"WALKER REHABILITATION CENTER, INC",350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549,0.19847,,0.21552,,0.00000,,0.00000,,0.00000,,0.9802538758,
1,,015410,EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,2000 PEPPERELL PARKWAY,OPELIKA,AL,36802,0.16192,,0.16394,,100.00000,,0.00000,,100.00000,,1.0176785153,
